batch,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,timestamp,latitude,longitude,accuracy,date_time,anomaly,speed_level
0,-0.14,-0.62,11.02,0.06,0.01,-0.03,0,984,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.5,0.05,10.77,0.11,-0.01,-0.03,0,1008,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,0.99,0.02,11.44,0.02,0.03,-0.04,0,1032,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.91,-0.32,7.78,0.03,-0.07,-0.04,0,1056,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.75,-0.55,8.49,0,0,-0.04,0,1080,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,2.66,-0.08,9.44,0.01,-0.08,-0.03,0,1104,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.77,-0.64,7.07,0.08,-0.03,-0.03,0,1128,0,0,99.989998,00/00/2000 14:42:09:1.770893,smooth,AVERAGE
0,1.58,-1.11,8.25,0.09,0.02,-0.03,0,1152,0,0,99.989998,00/00/2000 14:42:09:0.000000,smooth,AVERAGE
0,0.94,-0.45,9.79,0.08,-0.02,-0.04,0,1176,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.86,0.32,8.99,0.06,-0.01,-0.05,0,1200,0,0,99.989998,00/00/2000 14:42:09:1.770893,smooth,AVERAGE
0,1,0.23,9.34,0,-0.05,-0.04,0,1224,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.19,-0.37,9.41,0.05,0.03,-0.03,0,1248,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,0.91,0.75,10.38,0.03,0.03,-0.04,0,1272,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.79,-0.44,8.86,-0.05,0.05,-0.05,0,1296,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,2.54,-0.59,7.47,0,0,-0.04,0,1320,0,0,99.989998,00/00/2000 14:42:09:1.770893,smooth,AVERAGE
0,0.05,-0.28,11.81,0.03,0.04,-0.04,0,1344,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,0.65,-0.74,10.81,0.13,0.16,-0.04,0,1368,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.36,-0.64,9.17,0.04,-0.04,-0.06,0,1392,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,0.87,-0.15,9.27,0.04,-0.04,-0.05,0,1416,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,0.01,-0.3,12.28,0,0.02,-0.05,0,1440,0,0,99.989998,00/00/2000 14:42:09:-0.000000,smooth,AVERAGE
0,1.29,0.2,8.74,0.03,-0.07,-0.03,0,1464,0,0,99.989998,00/00/2000 14:42:09:1.770893,smooth,AVERAGE
0,0.51,-0.94,8.44,-0.02,-0.13,-0.04,0,1488,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.51,-0.68,8.2,-0.01,-0.07,-0.05,0,1512,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.91,-0.51,10.88,0.02,-0.06,-0.04,0,1536,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.54,-0.33,9.84,-0.01,-0.05,-0.04,0,1560,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,2.2,-1.29,7.06,0.04,0.02,-0.04,0,1584,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.57,-1.38,8.6,0.02,-0.06,-0.05,0,1608,0,0,99.989998,00/00/2000 14:42:10:0.000000,smooth,AVERAGE
0,1.09,-1.78,9.76,0.01,-0.03,-0.06,0,1632,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.29,-1.02,9.41,0.04,-0.02,-0.06,0,1656,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.48,-0.67,8.57,0.05,0.05,-0.06,0,1680,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.43,-0.74,8.87,0.02,0,-0.07,0,1704,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.6,-0.01,10.08,0.09,0.08,-0.06,0,1728,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.54,-0.5,9.87,0.06,0.07,-0.07,0,1752,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.39,-0.09,9.22,0.03,0.06,-0.06,0,1776,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1,0.09,10.02,0.02,-0.01,-0.06,0,1800,0,0,99.989998,00/00/2000 14:42:10:0.000000,smooth,AVERAGE
0,1.21,-1.06,8.75,0.02,0,-0.06,0,1824,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.27,-0.26,9.94,0.02,0,-0.06,0,1848,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.68,-0.59,9.48,0.01,0.01,-0.07,0,1872,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.84,-0.73,8.26,0.02,-0.03,-0.05,0,1896,0,0,99.989998,00/00/2000 14:42:10:1.770893,smooth,AVERAGE
0,0.59,-0.65,8.76,0.02,-0.04,-0.06,0,1920,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.31,-0.23,8.46,0.07,-0.04,-0.05,0,1944,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.4,-0.89,9.58,0.07,-0.03,-0.07,0,1968,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.02,-0.86,9.79,0.04,0,-0.07,0,1992,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.3,-0.27,9.62,-0.02,-0.07,-0.07,0,2016,0,0,99.989998,00/00/2000 14:42:10:1.770893,smooth,AVERAGE
0,0.6,-0.34,9.84,-0.03,-0.03,-0.06,0,2040,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.78,0.12,9.37,0,0.04,-0.06,0,2064,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.95,-0.51,9.45,-0.04,-0.01,-0.06,0,2088,0,0,99.989998,00/00/2000 14:42:10:0.000000,smooth,AVERAGE
0,0.78,-0.41,9.13,-0.04,-0.03,-0.07,0,2112,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.57,-1.75,7.64,0,-0.04,-0.07,0,2136,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.51,-1.27,9.09,0.1,0.09,-0.07,0,2160,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.2,-1.13,10.08,0.04,0.01,-0.08,0,2184,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,1.98,-0.2,7.98,0.05,0,-0.06,0,2208,0,0,99.989998,00/00/2000 14:42:10:-0.000000,smooth,AVERAGE
0,0.54,-0.8,10.3,0.01,0.07,-0.06,0,2232,0,0,99.989998,00/00/2000 14:42:10:0.000000,smooth,AVERAGE
0,0.66,0.06,8.39,0.03,0,-0.05,0,2256,0,0,99.989998,00/00/2000 14:42:10:1.770893,smooth,AVERAGE
0,0.76,-0.35,8,0.05,0,-0.05,0,2280,0,0,99.989998,00/00/2000 14:42:11:-0.000000,smooth,AVERAGE
0,0.61,-1.29,9.85,-0.01,0.01,-0.07,0,2304,0,0,99.989998,00/00/2000 14:42:11:-0.000000,smooth,AVERAGE
0,0.67,-1.09,9.36,0.01,-0.01,-0.07,0,2328,0,0,99.989998,00/00/2000 14:42:11:-0.000000,smooth,AVERAGE
0,-0.33,-0.76,9.14,0,-0.04,-0.08,0,2352,0,0,99.989998,00/00/2000 14:42:11:0.000000,smooth,AVERAGE
0,-0.17,-1.92,8.23,0.02,-0.06,-0.07,0,2376,0,0,99.989998,00/00/2000 14:42:11:-0.000000,smooth,AVERAGE
1,0.95,0.69,8.85,0.1,0.01,-0.02,0,0,0,0,99.989998,00/00/2000 14:42:16:0.000000,smooth,AVERAGE
1,-0.6,0.06,10.33,0.08,0.05,-0.03,0,24,0,0,99.989998,00/00/2000 14:42:16:1.770893,smooth,AVERAGE
1,1.03,-0.24,7.19,0.05,0.03,-0.02,0,48,0,0,99.989998,00/00/2000 14:42:16:-0.000000,smooth,AVERAGE
1,-1.2,-0.82,9.69,0.05,-0.01,-0.02,0,72,0,0,99.989998,00/00/2000 14:42:16:-0.000000,smooth,AVERAGE
1,-0.91,0.13,11.01,0.12,0.03,-0.01,0,96,0,0,99.989998,00/00/2000 14:42:16:-0.000000,smooth,AVERAGE
1,-0.49,0.11,9.75,0.09,-0.05,-0.02,0,120,0,0,99.989998,00/00/2000 14:42:16:0.000000,smooth,AVERAGE
1,-1.04,0.02,11.29,0.12,-0.04,-0.01,0,144,0,0,99.989998,00/00/2000 14:42:16:-0.000000,smooth,AVERAGE
1,-1.33,0.36,10.01,0.08,-0.03,-0.01,0,168,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.85,-0.14,8.7,0.09,-0.03,0,0,192,0,0,99.989998,07/19/2025 14:42:17:0.000000,smooth,AVERAGE
1,0.77,0.26,7.82,0.08,-0.09,-0.01,0,216,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.41,-0.35,9.53,0.07,-0.12,-0.02,0,240,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.29,0.35,10.99,0.07,-0.12,-0.02,0,264,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.16,0.68,10.66,0.1,-0.05,0,0,288,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.65,0.48,9.44,0.06,-0.08,0.01,0,312,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.01,-0.5,9.88,0.09,-0.02,0,0,336,0,0,99.989998,07/19/2025 14:42:17:0.000000,smooth,AVERAGE
1,-0.28,0.35,11.07,0.02,-0.06,-0.02,0,360,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.83,0.18,8.48,0.1,0.03,-0.01,0,384,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.24,-0.35,9.99,0.13,0.06,-0.02,0,408,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.7,-0.78,8.73,-0.01,-0.02,-0.03,0,432,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,1.98,-1.17,5.18,-0.06,-0.02,-0.04,0,456,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.42,0.91,11.82,0.15,0.09,-0.01,0,480,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.48,-0.43,8.22,0.12,0.07,-0.02,0,504,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.22,0.78,7.89,0.14,0.12,-0.02,0,528,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.78,1.88,11.93,0.08,0.03,-0.03,0,552,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.94,-0.08,9.3,0.07,0.15,-0.01,0,576,0,0,99.989998,07/19/2025 14:42:17:1.770893,smooth,AVERAGE
1,0.62,-0.08,8.56,0.1,0.09,-0.01,0,600,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.75,0.3,9.76,-0.08,-0.1,-0.04,0,624,0,0,99.989998,07/19/2025 14:42:17:0.000000,smooth,AVERAGE
1,0.35,-0.43,8.59,-0.04,-0.05,-0.04,0,648,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.69,1.26,11.1,0.1,-0.08,-0.02,0,672,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.13,0.41,9.99,-0.05,-0.22,-0.04,0,696,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.81,-0.2,10.41,0.16,-0.05,0.02,0,720,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-1.97,0.72,11.73,0.31,0.11,0.05,0,744,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,2.24,-0.82,7.87,-0.25,-0.36,-0.08,0,768,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.13,-0.18,9.6,-0.01,-0.09,-0.04,0,792,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,0.12,-0.44,10.64,0.14,0.01,0.01,0,816,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,1.78,0.17,8.87,-0.05,-0.09,-0.02,0,840,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
1,-0.97,0.23,9.09,0.14,0.08,0.01,0,864,0,0,99.989998,07/19/2025 14:42:17:-0.000000,smooth,AVERAGE
