id,batch_id,speed,latitude,longitude,accuracy,timestamp,log_interval,acc_x_corrected,acc_y_corrected,acc_z_corrected,rot_x_corrected,rot_y_corrected,rot_z_corrected,batch,acc_x_global,acc_y_global,acc_z_global
4180,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.792322,38,0.64,-0.55,10.01,-0.0,0.02,0.01,inference,0.5197834492841386,-0.4034995790105794,10.023932025686754
4181,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.816608,39,0.65,-0.55,10.0,0.01,0.02,0.01,inference,0.5267080625791198,-0.4005308514548907,10.014347390311912
4182,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.842111,40,0.67,-0.53,10.0,0.01,0.02,0.01,inference,0.5432658511391513,-0.3776070503330612,10.014593108585334
4183,0,0.036011,7.297506,5.132819,0.88,2025-06-27 13:04:19.871930,41,0.66,-0.55,10.02,-0.0,0.02,0.01,inference,0.5298371749863237,-0.39331631923589944,10.035092169034883
4184,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:19.896255,42,0.66,-0.54,10.0,-0.0,0.02,0.01,inference,0.5267632509248712,-0.37967779212155395,10.015266609114546
4185,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:19.921490,43,0.67,-0.55,9.98,-0.0,0.02,0.01,inference,0.5337881137364346,-0.38600024678731193,9.995892859525549
4186,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:19.945803,44,0.67,-0.56,9.98,0.01,0.02,0.01,inference,0.5305898965332536,-0.3929942451466055,9.996345826599763
4187,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:19.968909,45,0.66,-0.53,9.99,-0.0,0.02,0.01,inference,0.5169592780932161,-0.35902923492697997,10.006020743195624
4188,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:19.995660,46,0.68,-0.53,10.01,-0.0,0.02,0.01,inference,0.5332216177691131,-0.35485151187618513,10.026622318151956
4189,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.018126,47,0.65,-0.53,9.97,-0.0,0.02,0.01,inference,0.5004859052209369,-0.3518056678052397,9.986493209869785
4190,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.038931,48,0.65,-0.55,10.02,-0.0,0.02,0.01,inference,0.49655642644640585,-0.36690556724684065,10.037141625984864
4191,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.062104,49,0.66,-0.53,10.01,-0.0,0.02,0.01,inference,0.5032171406440822,-0.34322751160773446,10.027241264906195
4192,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.086214,50,0.65,-0.54,9.99,-0.0,0.02,0.01,inference,0.49026901183016636,-0.3497234173259318,10.007573623382092
4193,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.107142,51,0.67,-0.54,10.01,-0.0,0.02,0.01,inference,0.5065398092470982,-0.34543454135419605,10.02819487242282
4194,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.131621,52,0.66,-0.54,10.0,0.01,0.02,0.01,inference,0.49334287305427027,-0.3428281782570991,10.018297342852202
4195,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.156348,53,0.64,-0.54,10.02,0.01,0.02,0.01,inference,0.46970867428897844,-0.3395923878405246,10.038209540123104
4196,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.180496,54,0.66,-0.55,10.0,-0.0,0.02,0.01,inference,0.4867772905054934,-0.345960845723137,10.019054793875252
4197,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.199767,55,0.66,-0.54,9.97,0.01,0.02,0.01,inference,0.4838868094245593,-0.3337418087560964,9.98912258212668
4198,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.222076,56,0.67,-0.55,9.98,-0.0,0.02,0.01,inference,0.4903944766484926,-0.33963769332367566,9.999797972686572
4199,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.243888,57,0.67,-0.56,10.01,-0.0,0.02,0.01,inference,0.4865691472549072,-0.34509946086373333,10.030291961206872
4200,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.264541,58,0.66,-0.55,10.01,-0.0,0.02,0.01,inference,0.47316311264485955,-0.3312777862209729,10.030183034082118
4201,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.285365,59,0.63,-0.55,9.97,0.01,0.02,0.01,inference,0.44070800137522215,-0.3292884769921858,9.98987715422187
4202,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.306116,60,0.65,-0.55,10.02,-0.0,0.02,0.01,inference,0.4564086914128341,-0.3241594271907102,10.040518501161493
4203,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.326500,61,0.66,-0.54,9.98,-0.0,0.02,0.01,inference,0.46371610633386184,-0.311222392959374,10.000785368902147
4204,0,0.349822,7.297505,5.132809,0.88,2025-06-27 13:04:20.347177,62,0.66,-0.53,9.96,-0.0,0.02,0.01,inference,0.4605841239406375,-0.29801083791740046,9.980839233514265
