id,batch_id,acc_x,acc_y,acc_z,rot_x,rot_y,rot_z,speed,latitude,longitude,accuracy,timestamp,log_interval,anomaly
4801,71,-1.5,-0.1,12.9,0.01,0.06,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1431,road-patch
4802,71,-1.55,-0.32,12.27,0.02,0.0,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1436,road-patch
4803,71,-1.13,-0.17,10.91,0.04,0.01,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1440,road-patch
4804,71,-0.89,-0.26,10.36,0.04,0.0,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1444,road-patch
4805,71,-1.34,-0.51,10.88,0.03,-0.01,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1449,road-patch
4806,71,-1.09,-0.6,11.44,0.05,-0.03,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1453,road-patch
4807,71,-0.69,-0.7,11.35,0.04,-0.02,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1457,road-patch
4808,71,-0.87,-0.56,11.68,0.0,-0.02,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1462,road-patch
4809,71,-1.3,-0.19,12.49,0.05,-0.03,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1466,road-patch
4810,71,0.19,0.15,11.72,0.05,-0.08,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1470,road-patch
4811,71,-0.09,0.02,12.84,-0.01,-0.01,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1475,road-patch
4812,71,-0.77,-0.16,13.27,0.04,-0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1479,road-patch
4813,71,-0.55,-0.43,12.67,0.03,-0.06,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1483,road-patch
4814,71,-0.3,-0.62,12.14,0.06,-0.01,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1488,road-patch
4815,71,-0.39,0.04,11.8,0.11,-0.03,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1493,road-patch
4816,71,-0.43,0.27,11.0,0.07,-0.08,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1497,road-patch
4817,71,-0.68,0.07,10.86,0.07,-0.08,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:-0.000000,1501,road-patch
4818,71,-1.24,-0.16,10.77,0.07,-0.03,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1506,road-patch
4819,71,-1.21,-0.22,10.69,0.06,-0.07,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1511,road-patch
4820,71,-0.32,-0.01,9.99,0.06,-0.06,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1515,road-patch
4821,71,0.1,0.2,9.98,0.04,-0.06,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1519,road-patch
4822,71,0.17,0.45,10.25,0.03,-0.14,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1523,road-patch
4823,71,0.4,0.45,10.33,-0.01,-0.1,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1528,road-patch
4824,71,-1.07,-0.11,12.23,-0.03,-0.07,0.04,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1533,road-patch
4825,71,-1.15,0.15,12.83,0.0,-0.11,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1537,road-patch
4826,71,-0.61,-0.09,11.93,-0.02,-0.08,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1541,road-patch
4827,71,-0.71,0.0,11.79,0.02,-0.08,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1546,road-patch
4828,71,-0.16,0.87,10.98,0.04,-0.12,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1551,road-patch
4829,71,-0.47,0.53,10.32,0.0,-0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1555,road-patch
4830,71,-0.6,0.61,10.36,0.01,-0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1559,road-patch
4831,71,-0.12,0.83,9.83,-0.01,-0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1563,road-patch
4832,71,-0.55,0.72,9.68,-0.04,-0.05,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1567,road-patch
4833,71,-1.18,0.84,10.09,-0.04,-0.08,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1571,road-patch
4834,71,-0.57,0.67,9.89,-0.06,-0.1,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1575,road-patch
4835,71,-0.18,0.22,10.3,-0.07,-0.13,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1579,road-patch
4836,71,-0.25,0.58,10.87,-0.05,-0.12,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1583,road-patch
4837,71,-0.61,0.52,10.92,-0.05,-0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1587,road-patch
4838,71,-0.28,0.54,10.51,-0.06,-0.14,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1591,road-patch
4839,71,0.56,0.56,10.17,-0.08,-0.16,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1595,road-patch
4840,71,0.35,0.69,10.39,-0.07,-0.11,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1599,road-patch
4841,71,-0.26,1.2,10.14,-0.09,-0.12,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1603,road-patch
4842,71,-0.4,1.17,9.92,-0.1,-0.1,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1607,road-patch
4843,71,-0.7,0.64,9.48,-0.12,-0.09,0.05,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1611,road-patch
4844,71,-0.44,0.82,8.98,-0.09,-0.12,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1615,road-patch
4845,71,0.1,1.08,8.71,-0.07,-0.12,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1619,road-patch
4846,71,-0.04,1.07,8.1,-0.08,-0.11,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1623,road-patch
4847,71,0.2,1.22,7.63,-0.1,-0.1,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1627,road-patch
4848,71,0.62,0.91,7.9,-0.11,-0.08,0.07,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1631,road-patch
4849,71,0.15,0.73,8.31,-0.15,-0.18,0.06,9.856755,7.60077,5.221884,1.02,01/26/2025 15:06:59:0.000000,1635,road-patch
